raw_content,cleaned_content
很好，奥斯卡用动画片主动交纳了猫税。只有我觉得白鹭的飞升，其实象征了死亡吗？她用翅膀奋力推开了猫猫，将之推出了灵魂上传的程式，使其意识苏醒，跌回了三维空间？暗喻她最后又一次救了猫猫？社恐又勇敢的猫猫当然很好，快乐小狗毫不设防、毫无保留的友爱与忠诚，也同样可贵。反正我已经在精神上大步流星提前奔小康，实现了两猫四狗的人生。然后永远敬佩着、向往着白鸟的高洁自由，与鲲的广阔。,很好 奥斯卡用动画片主动交纳了猫税 只有我觉得白鹭的飞升 其实象征了死亡吗 她用翅膀奋力推开了猫猫 将之推出了灵魂上传的程式 使其意识苏醒 跌回了三维空间 暗喻她最后又一次救了猫猫 社恐又勇敢的猫猫当然很好 快乐小狗毫不设防 毫无保留的友爱与忠诚 也同样可贵 反正我已经在精神上大步流星提前奔小康 实现了两猫四狗的人生 然后永远敬佩着 向往着白鸟的高洁自由 与鲲的广阔
五年前曾有幸选了Gints的长片首作Away在纽约首映，如今在戛纳的德彪西大厅看他的第二部作品，真是非常欣慰。尽管相比前作一个人搞定所有要肉眼可见的有钱、有人了很多，但依然保留了无对白风格，而以极具想象力与风格化的画面来展现这么一个独特版本的“大洪水与方舟”，配乐也是一如既往的出彩,五年前曾有幸选了Gints的长片首作Away在纽约首映 如今在戛纳的德彪西大厅看他的第二部作品 真是非常欣慰 尽管相比前作一个人搞定所有要肉眼可见的有钱 有人了很多 但依然保留了无对白风格 而以极具想象力与风格化的画面来展现这么一个独特版本的 大洪水与方舟 配乐也是一如既往的出彩
猫猫好！没有对白的动画非常考验制作团队的表现力，完成度很高，画面也有吸引力。不得不说这届戛纳一种关注有些片子比主竞赛的更像“给人看的”。,猫猫好 没有对白的动画非常考验制作团队的表现力 完成度很高 画面也有吸引力 不得不说这届戛纳一种关注有些片子比主竞赛的更像 给人看的
猫猫是你，水豚是你，狗狗是你，狐猴是你，蛇鹫和鲸鱼也是你。无助是你，善良是你，老实是你，自私是你，自尊和搁浅也是你。甚至洪水也是你。每一次无言的心情涌动，何尝不是一场洪水汹涌？,猫猫是你 水豚是你 狗狗是你 狐猴是你 蛇鹫和鲸鱼也是你 无助是你 善良是你 老实是你 自私是你 自尊和搁浅也是你 甚至洪水也是你 每一次无言的心情涌动 何尝不是一场洪水汹涌
真没人觉得有点恐怖吗？,真没人觉得有点恐怖吗
请后天拿奥斯卡（已拿，恭喜🎉）,请后天拿奥斯卡 已拿 恭喜
前三分之一，一直在想这个迷失有什么区别，把steam游戏搬上大银幕？后面我觉得这些想法都很幼稚。如果一个创作做到极致，足够好，它带给人的感受是不拘泥形式的。很喜欢最后，洪水退去大部分的动物得救，但对于鲸鱼是生命的终结。灾厄也是辩证的，唯一不变的是对生命的尊重。,前三分之一 一直在想这个迷失有什么区别 把steam游戏搬上大银幕 后面我觉得这些想法都很幼稚 如果一个创作做到极致 足够好 它带给人的感受是不拘泥形式的 很喜欢最后 洪水退去大部分的动物得救 但对于鲸鱼是生命的终结 灾厄也是辩证的 唯一不变的是对生命的尊重
爱猫人士看得呼吸困难……心疼全程应激的猫猫……隐喻略明显 白鸟升天的那一幕很美,爱猫人士看得呼吸困难 心疼全程应激的猫猫 隐喻略明显 白鸟升天的那一幕很美
看泪目了。我不知道该怎么形容这种轻盈到空灵却又深刻而沉重的感觉，就好像电影中鲸鱼的腾跃和死亡让我想起“一鲸落而万物生”——鲸鱼的确守护了猫猫，甚至某种程度上守护了这群动物，我一方面不愿看到它生命的逝去，另一方面也为猫猫一行动物们选择彼此、共渡难关、在洪水中存活下来而欣喜。在这场没有人也与人无关的天灾里，有关自然中生命的选择、存续和消逝变得非常纯粹而厚重，但电影里一切都是那么轻盈，如片名flow一样自然流淌。下一场洪水正在来临，猫猫一行动物们站在一起，水面上倒映出彼此，人类也在这一幕里照见了自己，不是吗？,看泪目了 我不知道该怎么形容这种轻盈到空灵却又深刻而沉重的感觉 就好像电影中鲸鱼的腾跃和死亡让我想起 一鲸落而万物生 鲸鱼的确守护了猫猫 甚至某种程度上守护了这群动物 我一方面不愿看到它生命的逝去 另一方面也为猫猫一行动物们选择彼此 共渡难关 在洪水中存活下来而欣喜 在这场没有人也与人无关的天灾里 有关自然中生命的选择 存续和消逝变得非常纯粹而厚重 但电影里一切都是那么轻盈 如片名flow一样自然流淌 下一场洪水正在来临 猫猫一行动物们站在一起 水面上倒映出彼此 人类也在这一幕里照见了自己 不是吗
全片最让我感动的两幕：蛇鹭羽化登仙；猫猫贴贴搁浅在岸的鲸鱼面露不忍，然后共同经历九死一生的水豚、狗狗和狐猴凑过来紧贴彼此一同看向水中的倒影。,全片最让我感动的两幕 蛇鹭羽化登仙 猫猫贴贴搁浅在岸的鲸鱼面露不忍 然后共同经历九死一生的水豚 狗狗和狐猴凑过来紧贴彼此一同看向水中的倒影
猫咪视角的水上公路片，有股独立游戏的即视感，风格简洁却富有表现力，全程无对白的设定反而突破了语言界限，更能让人专注沉浸其中。滔天洪水淹没陆地家园，漂流小船成为栖身港湾，人类文明消亡绝迹的末世，动物们在逆境中团结求生，结识各色伙伴，收获珍贵友谊，惊恐敏感的小黑猫从畏缩到勇敢，从排斥到接纳，在适应新世界的过程中完成了成长试炼，白鹭飞升，鲸鱼搁浅，汹涌的洪水周而复始，登船的乘客来了又去，旅途中获得的力量将会支撑你度过挑战和危险继续朝着未知前行。《机器人之梦》后又一部惊喜满满的小众动画。,猫咪视角的水上公路片 有股独立游戏的即视感 风格简洁却富有表现力 全程无对白的设定反而突破了语言界限 更能让人专注沉浸其中 滔天洪水淹没陆地家园 漂流小船成为栖身港湾 人类文明消亡绝迹的末世 动物们在逆境中团结求生 结识各色伙伴 收获珍贵友谊 惊恐敏感的小黑猫从畏缩到勇敢 从排斥到接纳 在适应新世界的过程中完成了成长试炼 白鹭飞升 鲸鱼搁浅 汹涌的洪水周而复始 登船的乘客来了又去 旅途中获得的力量将会支撑你度过挑战和危险继续朝着未知前行 机器人之梦 后又一部惊喜满满的小众动画
蛇鹫升天太美了啦！又帅又正义（救下小猫）又慧眼识珠（看出来那群狗不是好狗）又会开船（过废墟城堡那段技术简直牛批），暴雨中优雅的站在雨中独自开船，在狗贼上船后毅然决然飞往最高的山峰，羽化登仙，oh！chapter！my chapter！,蛇鹫升天太美了啦 又帅又正义 救下小猫 又慧眼识珠 看出来那群狗不是好狗 又会开船 过废墟城堡那段技术简直牛批 暴雨中优雅的站在雨中独自开船 在狗贼上船后毅然决然飞往最高的山峰 羽化登仙 oh chapter my chapter
3.5  水里倒映出支离破碎的文明遗址，像末世游戏CG，也会想起百年前的“电影眼”。没有一个人类、一句台词，动物终于脱离了人类中心主义。它们不用被当成“治愈萌宠”，没有旁白内心OS，也没有拟人的举止，只有真实的生存细节。方舟之旅同时也是选择之旅，随时都有犯错的风险。一群不可能共处的动物，挤在狭窄的船舱里，放弃一部分自我习性，成为离不开的朋友——能把它解释成是诺亚方舟式的寓言，但也没什么必要，这就是一个淡淡的、朴素的故事。,3 5 水里倒映出支离破碎的文明遗址 像末世游戏CG 也会想起百年前的 电影眼 没有一个人类 一句台词 动物终于脱离了人类中心主义 它们不用被当成 治愈萌宠 没有旁白内心OS 也没有拟人的举止 只有真实的生存细节 方舟之旅同时也是选择之旅 随时都有犯错的风险 一群不可能共处的动物 挤在狭窄的船舱里 放弃一部分自我习性 成为离不开的朋友 能把它解释成是诺亚方舟式的寓言 但也没什么必要 这就是一个淡淡的 朴素的故事
我命由我不由天 不是靠口号喊出来。而是潜移默化。我代入不了天赋异禀的官二代哪吒。但在这些小动物身上看到了各种各样的自己。面对各种困难 不屈服 努力向前,我命由我不由天 不是靠口号喊出来 而是潜移默化 我代入不了天赋异禀的官二代哪吒 但在这些小动物身上看到了各种各样的自己 面对各种困难 不屈服 努力向前
猫猫辛辛苦苦捉鱼给大家吃，结果总有一些狗没有边界感….,猫猫辛辛苦苦捉鱼给大家吃 结果总有一些狗没有边界感
建模也太糙了，在大荧幕上看到像素块真的很无语,建模也太糙了 在大荧幕上看到像素块真的很无语
这才是小朋友看的电影啊。保护过你的朋友飞上天了，那些傻狗还在船上，谁也不知道下一秒怎么样,这才是小朋友看的电影啊 保护过你的朋友飞上天了 那些傻狗还在船上 谁也不知道下一秒怎么样
深海恐惧请慎选，几度觉得喘不上来气儿了🙈,深海恐惧请慎选 几度觉得喘不上来气儿了
明明是猫猫的恐怖漂流，全程惊恐……,明明是猫猫的恐怖漂流 全程惊恐
今年奥斯卡最佳动画长片提名 就是一个寓言故事 对号入座各种人类 个人并不喜欢这类片子 就像是在学语文作文 老师总是要你分析这只动物代表啥 看着累 2月底会在国内上映 我是不建议去看,今年奥斯卡最佳动画长片提名 就是一个寓言故事 对号入座各种人类 个人并不喜欢这类片子 就像是在学语文作文 老师总是要你分析这只动物代表啥 看着累 2月底会在国内上映 我是不建议去看
"好喜欢！以为是个无脑卖萌片，看下来居然有浓重的隐喻，后启示录感，像是把爱死机的一集做成剧场版。在片中你能看到：巨物迷恋，深海恐惧，梦核，城市废墟遗迹。以及猫猫洗脸，猫猫哈气，猫猫吐毛球，猫猫练爪子（x）
人类末世之后，洪水淹没世界。猫猫和其他动物伙伴一路组队，靠着一艘破船求生，动物自救版诺亚方舟。角色全员动物且都不会说话，台词都是原生的叫声，每种动物都符合各自的生活习性，碰撞自然又有趣。
导演太懂奇幻亚文化逼喜欢什么了，场景设计一看就是自己人。当猫猫攀上巨大的猫猫头山，还有犹如人类最后的挣扎五指峰的神山，洪水吞噬一切前壮阔的落日，有种悲壮的浪漫感。孤舟驶入洪水后的古城遗迹，镜头凝视着废土的美，城市风格从意大利到柬埔寨再到不丹，水漫吴哥窟真是令人鸡皮疙瘩起。蛇鹫失重飞升、牡鹿绕圈走太梦核感了。",好喜欢 以为是个无脑卖萌片 看下来居然有浓重的隐喻 后启示录感 像是把爱死机的一集做成剧场版 在片中你能看到 巨物迷恋 深海恐惧 梦核 城市废墟遗迹 以及猫猫洗脸 猫猫哈气 猫猫吐毛球 猫猫练爪子 x 人类末世之后 洪水淹没世界 猫猫和其他动物伙伴一路组队 靠着一艘破船求生 动物自救版诺亚方舟 角色全员动物且都不会说话 台词都是原生的叫声 每种动物都符合各自的生活习性 碰撞自然又有趣 导演太懂奇幻亚文化逼喜欢什么了 场景设计一看就是自己人 当猫猫攀上巨大的猫猫头山 还有犹如人类最后的挣扎五指峰的神山 洪水吞噬一切前壮阔的落日 有种悲壮的浪漫感 孤舟驶入洪水后的古城遗迹 镜头凝视着废土的美 城市风格从意大利到柬埔寨再到不丹 水漫吴哥窟真是令人鸡皮疙瘩起 蛇鹫失重飞升 牡鹿绕圈走太梦核感了
原来一个半小时不用听人说话是这么舒畅的体验,原来一个半小时不用听人说话是这么舒畅的体验
最伟大的点在于，小动物更像小动物而不是人类，非常清新,最伟大的点在于 小动物更像小动物而不是人类 非常清新
让猫成为猫本身，而不要狂妄自大到要把所有拟人化。,让猫成为猫本身 而不要狂妄自大到要把所有拟人化
全靠卡皮巴拉的善良，才攒起来这个家！,全靠卡皮巴拉的善良 才攒起来这个家
＃SIFF2024＃ 全球變暖，氣候惡化，海平面上升，人類逃離地球尋找新的家園，而被留下的生靈如何生存與相處則是這部電影要呈現給我們的。就在這個後人類時代的背景下，一隻可愛的小貓咪與它的小夥伴們共乘一隻「諾亞方舟」四處漂流。電影用第一視角極有代入感地讓我們與之一同經歷驚心動魄的冒險之旅，體會沒有人類的世界更為純粹的運轉法則。雖然畫風不是那種細膩的仿真效果（比如毛髮），但全片勝在充分調動觀眾的情緒，沒有對白卻令人無比投入，極有想象力。,SIFF2024 全球變暖 氣候惡化 海平面上升 人類逃離地球尋找新的家園 而被留下的生靈如何生存與相處則是這部電影要呈現給我們的 就在這個後人類時代的背景下 一隻可愛的小貓咪與它的小夥伴們共乘一隻 諾亞方舟 四處漂流 電影用第一視角極有代入感地讓我們與之一同經歷驚心動魄的冒險之旅 體會沒有人類的世界更為純粹的運轉法則 雖然畫風不是那種細膩的仿真效果 比如毛髮 但全片勝在充分調動觀眾的情緒 沒有對白卻令人無比投入 極有想象力
"2024siff，第三部。
私心五星，太喜欢了。
少年派的奇幻漂流，但没有少年（不是。见证两次世界“瓦解”的瞬间，everything folws, then everything crashes. 全片尽力做到去人类化，哪怕主要都以哺乳动物为中心来达到共情，也更像是在看爱登堡老爷爷的纪录片而不是动画。在一切迎来翻天覆地的改变时，仍有鸟在栖息，有极光环绕，有从存在之始到我们看不到的以后的巨石永远静默凝视。把时间归还给时间，把世界归还给世界，而我们仍是我们，多么宏大而微妙。

鸟把狗的球推到水里那段全场爆笑）
想玩stray了…

2025.3.1.
最后留在脑海里的，是鸟飞向光的那一刻",2024siff 第三部 私心五星 太喜欢了 少年派的奇幻漂流 但没有少年 不是 见证两次世界 瓦解 的瞬间 everything folws then everything crashes 全片尽力做到去人类化 哪怕主要都以哺乳动物为中心来达到共情 也更像是在看爱登堡老爷爷的纪录片而不是动画 在一切迎来翻天覆地的改变时 仍有鸟在栖息 有极光环绕 有从存在之始到我们看不到的以后的巨石永远静默凝视 把时间归还给时间 把世界归还给世界 而我们仍是我们 多么宏大而微妙 鸟把狗的球推到水里那段全场爆笑 想玩stray了 2025 3 1 最后留在脑海里的 是鸟飞向光的那一刻
起初会想到电子游戏《Stray》，然而本片是以默片呈现，动物角色虽设计简约，但行为与动作却异常逼真，无需言语便可加深沉浸式体验。穿插着若干奇观时刻，但核心始终围绕友谊与信任展开，直至尾声真正彰显了动物间那份纯真无价的友谊，这是经历过患难与共换来的。,起初会想到电子游戏 Stray 然而本片是以默片呈现 动物角色虽设计简约 但行为与动作却异常逼真 无需言语便可加深沉浸式体验 穿插着若干奇观时刻 但核心始终围绕友谊与信任展开 直至尾声真正彰显了动物间那份纯真无价的友谊 这是经历过患难与共换来的
好枯燥好无聊动物们都好粗糙,好枯燥好无聊动物们都好粗糙
想到圣经里那句，我又看见一片新天新地，因为旧的天地已经过去了，海也不再有了,想到圣经里那句 我又看见一片新天新地 因为旧的天地已经过去了 海也不再有了
33.9，包场。正是我所期待的动物动画片，动物不会说人话穿衣服，去性别化二元对立，甚至没有一个人类！！简直绝美！绝美！！绝美！低成本小团队制作的画风似真若幻，非复刻现实，天柱仿佛不周山，巨鲸似鲲，蛇鷲飞升，循此苦旅，以达天际，好奇动物对白动物观众能不能听懂，反正水豚肯定听不懂因为配的骆驼声，幸好囤了很久资源也没看，终于等到大银幕，,33 9 包场 正是我所期待的动物动画片 动物不会说人话穿衣服 去性别化二元对立 甚至没有一个人类 简直绝美 绝美 绝美 低成本小团队制作的画风似真若幻 非复刻现实 天柱仿佛不周山 巨鲸似鲲 蛇鷲飞升 循此苦旅 以达天际 好奇动物对白动物观众能不能听懂 反正水豚肯定听不懂因为配的骆驼声 幸好囤了很久资源也没看 终于等到大银幕
聪明又幸运的猫猫被人类爱过，有仙人庇佑，还遇到一群好友共渡难关。,聪明又幸运的猫猫被人类爱过 有仙人庇佑 还遇到一群好友共渡难关
姑且不谈圣经隐喻是否是人类中心，至少能感觉到导演在尽量规避“正反打”这样人类中心主义的镜头语言（尽管这样的运镜逻辑让本片继续继承了前作的缺点，全片观感像漫长的游戏过场+实况），然而导演对动物姿态的设计明显陷入了人类一厢情愿的“动物应该是这样”，而非真正反对人类中心主义的“动物本身是这样”的原则，依旧在以一种“宠物化”的居高临下视角看待主角们，动物每一次看水面、照镜子，映出的都是人类自己，而非它们本身。后半段角色的人格化越来越明显，但所有的共情仍然仅立足于配乐的渲染和动物（作为凝视对象）的可爱，这大概就是创作思路上的问题了。,姑且不谈圣经隐喻是否是人类中心 至少能感觉到导演在尽量规避 正反打 这样人类中心主义的镜头语言 尽管这样的运镜逻辑让本片继续继承了前作的缺点 全片观感像漫长的游戏过场 实况 然而导演对动物姿态的设计明显陷入了人类一厢情愿的 动物应该是这样 而非真正反对人类中心主义的 动物本身是这样 的原则 依旧在以一种 宠物化 的居高临下视角看待主角们 动物每一次看水面 照镜子 映出的都是人类自己 而非它们本身 后半段角色的人格化越来越明显 但所有的共情仍然仅立足于配乐的渲染和动物 作为凝视对象 的可爱 这大概就是创作思路上的问题了
和第一次看《天线宝宝》时一样的哈欠连天。同是默片，却比《机器人之梦》单调、刻板太多。,和第一次看 天线宝宝 时一样的哈欠连天 同是默片 却比 机器人之梦 单调 刻板太多
一艘船上的五只动物代表马斯洛需求的五个层次。水豚追求吃喝拉撒睡，是最基础的生理需求，也是小猫第一个同伴。狐猴代表安全需求，保护财产，避免威胁，但狐猴保卫的是一堆毫无价值的瓶瓶罐罐，他是二号同伴。三号是金毛狗，代表社交需要，无论是坏社交（狐朋狗友），还是好社交（与小猫），都是对爱和归属感的需要。然后是鹭鹰，对尊重的需要，人类理性中最高贵最接近神性的一部分。最后小猫则是自我实现的需求，它不断在大洪水和漂流中经历五个需求的变化，最后在拯救河豚的行动中完成自我。片中数次表现小猫落水，片尾它亦凝视水中倒影的自己。洪水代表潜意识，鲸鱼代表想象中自由的自我和搁浅时恐惧的自我，所有的自我需求都隐藏在潜意识的深水区里，等待下一次的潮起潮落。,一艘船上的五只动物代表马斯洛需求的五个层次 水豚追求吃喝拉撒睡 是最基础的生理需求 也是小猫第一个同伴 狐猴代表安全需求 保护财产 避免威胁 但狐猴保卫的是一堆毫无价值的瓶瓶罐罐 他是二号同伴 三号是金毛狗 代表社交需要 无论是坏社交 狐朋狗友 还是好社交 与小猫 都是对爱和归属感的需要 然后是鹭鹰 对尊重的需要 人类理性中最高贵最接近神性的一部分 最后小猫则是自我实现的需求 它不断在大洪水和漂流中经历五个需求的变化 最后在拯救河豚的行动中完成自我 片中数次表现小猫落水 片尾它亦凝视水中倒影的自己 洪水代表潜意识 鲸鱼代表想象中自由的自我和搁浅时恐惧的自我 所有的自我需求都隐藏在潜意识的深水区里 等待下一次的潮起潮落
在荒芜时代大洪水来临，化身为动物的“人类”向圣山漂流。被人类塑为地上灵性之神的猫，在神像顶端等来了诺亚之舟，孤身却常常惊惧的黑猫，孤身但情绪稳定的卡皮巴拉，和三只脱离群体的动物，虚荣自我的环尾狐猴，盲从的狗群中友善的金毛，叫板权威和宗族的鹭鹰。共同驶过文明的遗迹，所有船只都指向那同一个终点，水珠升腾，等待召唤，属于天的高洁之鸟羽化登仙，属于地灵的猫被凝结人类情感羁绊的玻璃球托起，顾虑蒙昧狗群的动物甚至没有登上圣山的机会，浮沉于人间又如何。洪水退却时环尾狐猴聚集在议事厅，推选新一任只看着自己的王，终究没有忘记共患难的情谊，终究只有独立的个体才能结伴更好的生存，鹿群是天命审判的灾厄象征，鲸是海中持剑又仁慈的天使。我们靠在一起看着倒影，我又是谁？,在荒芜时代大洪水来临 化身为动物的 人类 向圣山漂流 被人类塑为地上灵性之神的猫 在神像顶端等来了诺亚之舟 孤身却常常惊惧的黑猫 孤身但情绪稳定的卡皮巴拉 和三只脱离群体的动物 虚荣自我的环尾狐猴 盲从的狗群中友善的金毛 叫板权威和宗族的鹭鹰 共同驶过文明的遗迹 所有船只都指向那同一个终点 水珠升腾 等待召唤 属于天的高洁之鸟羽化登仙 属于地灵的猫被凝结人类情感羁绊的玻璃球托起 顾虑蒙昧狗群的动物甚至没有登上圣山的机会 浮沉于人间又如何 洪水退却时环尾狐猴聚集在议事厅 推选新一任只看着自己的王 终究没有忘记共患难的情谊 终究只有独立的个体才能结伴更好的生存 鹿群是天命审判的灾厄象征 鲸是海中持剑又仁慈的天使 我们靠在一起看着倒影 我又是谁
哈哈哈哈，这片子里猫很人、鹭鹰很人、卡皮巴拉很人、环尾狐猴很人，就金毛，怎么还那么狗啊。,哈哈哈哈 这片子里猫很人 鹭鹰很人 卡皮巴拉很人 环尾狐猴很人 就金毛 怎么还那么狗啊
这个家没有卡皮巴拉迟早得散,这个家没有卡皮巴拉迟早得散
人类还能拍出这样的片儿，说明也许还有救。,人类还能拍出这样的片儿 说明也许还有救
人死光挺好的,人死光挺好的
没有这只拉布拉多，从此狗界低众生一等。@博纳大悦城SRIFF2024,没有这只拉布拉多 从此狗界低众生一等 博纳大悦城SRIFF2024
太美了太美了！人类死绝后的世界太美了！洪水灭世之少年猫的奇幻漂流，真正诠释了什么叫一个都不能少。导演用五年时间手绘自然奇观，每张截图都是屏保。想加入拜猫教…,太美了太美了 人类死绝后的世界太美了 洪水灭世之少年猫的奇幻漂流 真正诠释了什么叫一个都不能少 导演用五年时间手绘自然奇观 每张截图都是屏保 想加入拜猫教
本以为是随大流的环保主题动画片，一点也不。上船，下船，再上船，再下船，重复着生和死的赌博。小黑猫从犹豫下水到数次落水，再到熟练捕鱼。反反复复，以至于都快对这一生死间的紧张感到麻木。白鹤可以为了小黑猫折断翅膀，它在此时已经选择了死亡。然而面对小狗同伴的求助，它为了活下去选择视而不见，但也注定了它必须要离开小船的命运。潮水退去，动物们回到熟悉的土地上。没有动物可以守护海洋中的守护者，只能见证鲸鱼在陆地上等待死亡。这是一个关于一艘理想主义小船在现实主义潮水中艰难前行的故事。,本以为是随大流的环保主题动画片 一点也不 上船 下船 再上船 再下船 重复着生和死的赌博 小黑猫从犹豫下水到数次落水 再到熟练捕鱼 反反复复 以至于都快对这一生死间的紧张感到麻木 白鹤可以为了小黑猫折断翅膀 它在此时已经选择了死亡 然而面对小狗同伴的求助 它为了活下去选择视而不见 但也注定了它必须要离开小船的命运 潮水退去 动物们回到熟悉的土地上 没有动物可以守护海洋中的守护者 只能见证鲸鱼在陆地上等待死亡 这是一个关于一艘理想主义小船在现实主义潮水中艰难前行的故事
大部分蠢材编剧都应该学学这部戏的编剧怎么去刻画剧情的，一句对白都没有，就是完全依靠小动物的行为去推动，而这个世界上很多蠢货编剧连90分钟的戏都驾驭不了，只会疯狂用没用的废话台词注水。,大部分蠢材编剧都应该学学这部戏的编剧怎么去刻画剧情的 一句对白都没有 就是完全依靠小动物的行为去推动 而这个世界上很多蠢货编剧连90分钟的戏都驾驭不了 只会疯狂用没用的废话台词注水
卡皮巴拉船长！敬礼！,卡皮巴拉船长 敬礼
彩蛋最后还是给咱们大鲸鱼一个好结局了…不然我可得难受死😣,彩蛋最后还是给咱们大鲸鱼一个好结局了 不然我可得难受死
小猫为主角的末日公路片，把所有常见动物动画中的拟人塑造完全摒弃，不论是在本届展映还是近期院线中都是一股清流，如初夏的西瓜般解暑、利尿,小猫为主角的末日公路片 把所有常见动物动画中的拟人塑造完全摒弃 不论是在本届展映还是近期院线中都是一股清流 如初夏的西瓜般解暑 利尿
"庞大的猫型雕塑证明猫是末日中的主角冒险者，狗是盲从但忠诚的愚者，狐猴是精致利己者，卡皮巴拉是善良有加但普通的庸人，蛇鹫是严肃古板的智者，鹿是感知厄运的通灵者，鲸是持剑守护万物生灵的天使
灾难到达顶峰时，悲观的智者放弃一切羽化登仙，只剩冒险者继续苦苦挣扎，被代表希望和文明的玻璃球托起，终于等到洪水退去，水位下降，曾经在天际翱翔的天使陨落，可通灵者表明灾难会再次来临，冒险者看着水中自己和同伴们的倒影，大概所有人心中都充满迷茫。彩蛋里鲸回到水中，可知洪水再次泛滥，那么冒险者呢？",庞大的猫型雕塑证明猫是末日中的主角冒险者 狗是盲从但忠诚的愚者 狐猴是精致利己者 卡皮巴拉是善良有加但普通的庸人 蛇鹫是严肃古板的智者 鹿是感知厄运的通灵者 鲸是持剑守护万物生灵的天使 灾难到达顶峰时 悲观的智者放弃一切羽化登仙 只剩冒险者继续苦苦挣扎 被代表希望和文明的玻璃球托起 终于等到洪水退去 水位下降 曾经在天际翱翔的天使陨落 可通灵者表明灾难会再次来临 冒险者看着水中自己和同伴们的倒影 大概所有人心中都充满迷茫 彩蛋里鲸回到水中 可知洪水再次泛滥 那么冒险者呢
#SIFF26# 太喜欢了，今年上影节看得最喜欢的一部片子，小黑猫的奇幻漂流。镜头始终以低机位记录动物的神情，代入感很强，全程没有一句对白，但是完全把动物之间的交流展现的淋漓尽致，细腻动人，性格立体，又可爱又惊险。影片结尾，洪水退去，船开到了树上，似乎回到了片子一开头时的那个场景，就好像是一个轮回。白鸟注定属于天空，巨鲸必定畅游深海，而这些勇敢冒险的动物们，则属于广袤的陆地。所以我觉得这个片子在表明，不论时代如何变迁，是海洋时代还是陆地时代，每个个体都有它需要征服的旅程。同时片子并没有出现一个人类（仅有石像状的手），说明人类曾出现过，而动物们通过水面镜子等反射，看到了自己的面貌，也诞生了自我意识。所以片子似乎也在表达，去人类中心主义后的大自然，谁才是真正的主人。总之，小猫小狗就是坠吼的！,SIFF26 太喜欢了 今年上影节看得最喜欢的一部片子 小黑猫的奇幻漂流 镜头始终以低机位记录动物的神情 代入感很强 全程没有一句对白 但是完全把动物之间的交流展现的淋漓尽致 细腻动人 性格立体 又可爱又惊险 影片结尾 洪水退去 船开到了树上 似乎回到了片子一开头时的那个场景 就好像是一个轮回 白鸟注定属于天空 巨鲸必定畅游深海 而这些勇敢冒险的动物们 则属于广袤的陆地 所以我觉得这个片子在表明 不论时代如何变迁 是海洋时代还是陆地时代 每个个体都有它需要征服的旅程 同时片子并没有出现一个人类 仅有石像状的手 说明人类曾出现过 而动物们通过水面镜子等反射 看到了自己的面貌 也诞生了自我意识 所以片子似乎也在表达 去人类中心主义后的大自然 谁才是真正的主人 总之 小猫小狗就是坠吼的
简直是在演我，从开始对一切都怀有戒备心，到慢慢接纳，付出，有点后知后觉，却又不想留有遗憾，有些人错过了，有些人还在身边，有些人留在了回忆里。,简直是在演我 从开始对一切都怀有戒备心 到慢慢接纳 付出 有点后知后觉 却又不想留有遗憾 有些人错过了 有些人还在身边 有些人留在了回忆里
这部片子最好的一点是：动物没有开口讲话。,这部片子最好的一点是 动物没有开口讲话
哪咤在这种片面前太幼稚了,哪咤在这种片面前太幼稚了
从一个人像一支队伍，到一个人组了一支队伍。,从一个人像一支队伍 到一个人组了一支队伍
"电影开头挂在树上的木船，暗示洪水涨退在不断重复。
这艘毛茸茸的诺亚方舟在淹没世界的洪水中漂出最温暖的涟漪。当蛇鹫振翅引发误会，狗狗护猫的笨拙让它终于读懂善意。后来它们在船头分食小鱼的画面，胜过千言万语的和解宣言。
狐猴执着收集玻璃器皿，却在接过水豚送来的镜子时，从反光中看见比收藏更珍贵的东西——伙伴眼里的星光。
导演把洪水灾难变成童话画布：鲸鱼脊背化作救生浮岛，蛇鹫在彩虹色云霞中羽化登仙，就连悬崖边众兽咬绳救船的惊险场面，都是萌态百出的集体表情包。
片尾彩蛋搁浅的鲸鱼摆尾重归大海，所有观众都会会心一笑——这个世界永远会给温柔的生命留扇后门。
猫猫教水豚划船，高冷的蛇鹫将球踢进水里，以及猫猫终于学会游泳后的傲娇模样，这些绒毛战士们用最本真的样子告诉我们：末日洪水冲不垮的，永远是互相托举的暖意。",电影开头挂在树上的木船 暗示洪水涨退在不断重复 这艘毛茸茸的诺亚方舟在淹没世界的洪水中漂出最温暖的涟漪 当蛇鹫振翅引发误会 狗狗护猫的笨拙让它终于读懂善意 后来它们在船头分食小鱼的画面 胜过千言万语的和解宣言 狐猴执着收集玻璃器皿 却在接过水豚送来的镜子时 从反光中看见比收藏更珍贵的东西 伙伴眼里的星光 导演把洪水灾难变成童话画布 鲸鱼脊背化作救生浮岛 蛇鹫在彩虹色云霞中羽化登仙 就连悬崖边众兽咬绳救船的惊险场面 都是萌态百出的集体表情包 片尾彩蛋搁浅的鲸鱼摆尾重归大海 所有观众都会会心一笑 这个世界永远会给温柔的生命留扇后门 猫猫教水豚划船 高冷的蛇鹫将球踢进水里 以及猫猫终于学会游泳后的傲娇模样 这些绒毛战士们用最本真的样子告诉我们 末日洪水冲不垮的 永远是互相托举的暖意
